"country";"iucn_cat";"count";"area_ha"
"MTQ";"IV";24;459.978823018379
"MUS";"II";1;5620.83103604564
"MWI";"II";5;612138.380959204
"MWI";"IV";4;391558.254955153
"MWI";"Not Applicable";2;218264.972805233
"MWI";"Not Reported";45;622237.284073927
"MYS";"Ia";88;382596.385647257
"MYS";"II";15;955347.337723579
"MYS";"III";1;45.229321544837
"MYS";"IV";10;294956.124923662
"MYS";"Not Applicable";5;711819.817730637
"MYS";"Not Reported";28;1284224.66309911
"MYS";"V";5;110916.894019816
"MYT";"IV";19;1821.96794089441
"MYT";"Not Reported";1;6835725.20785014
"NAM";"II";7;3262616.75004002
"NAM";"III";2;146.656198271939
"NAM";"Not Applicable";2;4598542.65989652
"NAM";"Not Reported";151;29856682.5717988
"NAM";"V";3;51951.1939043651
"NCL";"Ia";1;5481.36781253799
"NCL";"II";3;11450.2069694718
"NCL";"IV";16;26456.6215900771
"NER";"Ia";1;1275457.44504324
"NER";"II";1;221162.00804096
"NER";"IV";4;16404363.6228931
"NER";"Not Applicable";8;11090122.9758378
"NER";"Not Reported";1;786232.374723702
"NGA";"Ia";1;489.659338659045
"NGA";"II";7;2095547.61759946
"NGA";"IV";9;858452.548598938
"NGA";"Not Applicable";8;983406.037115224
"NGA";"Not Reported";939;10302271.4209099
"NIC";"II";2;17974.1222239177
"NIC";"III";2;21524.6190631501
"NIC";"IV";41;268541.998255474
"NIC";"Not Applicable";1;42519.2656981021
"NIC";"Not Reported";26;1998557.18036065
"NIC";"VI";1;681571.987901117
"NLD";"II";18;91241.5249871252
"NLD";"IV";283;1590126.00112371
"NLD";"Not Applicable";220;761226.4169858
"NOR";"Ia";1896;535854.02313719
"NOR";"Ib";1;1904.44897284169
"NOR";"II";30;2857369.69039129
"NOR";"III";91;168.293565179982
"NOR";"IV";200;427464.994330574
"NOR";"Not Applicable";12;34724.1509203393
"NOR";"Not Reported";249;48296.8953270122
"NOR";"V";128;1205768.24424349
"NPL";"II";9;1040205.79461155
"NPL";"IV";3;99684.3599711946
"NPL";"Not Applicable";3;245492.664028521
"NPL";"Not Reported";4;124174.479435424
"NPL";"VI";6;1349903.55581077
