"country","iucn_cat","count","area_ha"
"KEN","Not Reported",185,3355062.69348312
"KEN","VI",13,744913.501052414
"KGZ","Ia",6,873121.201587802
"KGZ","II",6,64206.2112694367
"KGZ","IV",16,321492.595470038
"KGZ","Not Applicable",2,636638.050312006
"KHM","II",6,567446.156078828
"KHM","III",1,12907.5564879374
"KHM","IV",16,2871145.53073634
"KHM","Not Applicable",5,562933.332701352
"KHM","Not Reported",11,776025.792912393
"KHM","V",3,99483.1680711889
"KHM","VI",3,411272.601818407
"KIR","Not Applicable",1,40845332.633054
"KIR","Not Reported",1,40845332.633054
"KOR","Ia",9,45246.4549985888
"KOR","II",15,575641.655432732
"KOR","III",1,0.660053443684159
"KOR","IV",181,414319.880963664
"KOR","Not Applicable",14,88675.4632055112
"KOR","V",151,162106.661476678
"KWT","II",1,32468.0100491685
"KWT","IV",9,272793.322090589
"KWT","Not Reported",16,4786.82738229783
"KWT","V",11,123211.258891806
"LAO","Not Applicable",1,217413.155742699
"LAO","Not Reported",8,923608.901407294
"LAO","VI",21,3399994.66621944
"LBN","Not Applicable",2,16885.3634355697
"LBR","Not Reported",16,1272560.21529523
"LCA","Not Applicable",1,1929.18728171736
"LCA","Not Reported",1,132.756811586897
"LCA","VI",14,7839.14998702428
"LIE","Ib",9,1308.0464393186
"LIE","IV",31,621.486979201439
"LIE","Not Applicable",1,91.4396952168629
"LIE","V",1,6248.14960122511
"LKA","Ia",17,45392.980041442
"LKA","II",14,543412.379116743
"LKA","IV",36,335625.311719886
"LKA","Not Applicable",6,107527.272744425
"LKA","Not Reported",348,1127736.89488287
"LSO","IV",1,6951.42715092305
"LSO","Not Reported",1,632400.268100061
"LTU","Ia",6,37080.0007890381
"LTU","II",5,157028.742226656
"LTU","IV",291,162891.073944091
"LTU","Not Applicable",488,1296147.93938172
"LTU","V",32,452903.305314995
"LTU","VI",29,251843.79357458
"LUX","Ib",40,6104.18837840513
"LUX","II",2,46929.3288909957
"LUX","IV",62,72735.4698155974
"LUX","Not Applicable",60,55273.8698781695
"LVA","Ib",4,25072.7406000231
"LVA","II",45,344386.570571988
"LVA","III",355,5280.86076180289
"LVA","IV",310,705178.494646318
"LVA","Not Applicable",334,1032738.09084767
"LVA","V",10,641265.358651921
"MAF","IV",15,3897.89942465061
"MAF","Not Applicable",1,3483.64100961079
"MAR","Not Applicable",5,58875.3414182148
"MAR","Not Reported",12,766827.145241887
"MCO","Not Applicable",1,23.2726462556821
"MDG","Ia",5,210353.513636942
"MDG","II",21,860022.660480526
"MDG","IV",20,329421.971271638
"MDG","Not Applicable",5,711250.507320541
